review,polarity
"تطبيق جيد، بسيط وفعال لي أنصح بشدة لجميع مالكي الحساب في هذا البنك الجيد جدا.",1
فعال,1
أوصي بشدة جميع مالكي الحساب في هذا البنك الجيد جدا.,1
بنك  جيد جدا!,1
علة سيئة!,-1
 سيئ,1
"تطبيق رائع، عملي جدا. أصبح كل شيء بسيطا، ويعمل جيدا بالنسبة لي. ",1
تطبيق رائع,1
مريحة للغاية.,1
انها تعمل جيدة جدا ,1
إنه يعمل بشكل جيد بالنسبة لي,1
تطبيق جيد جدا أن أستخدمه كل يوم لعرض حساباتي أو إجراء تحويلات,1
التطبيق مفيد للغاية ,1
تطبيق جيد جدا,1
عملي للغاية ,1
5نجوم...,1
"برافو للتحديث، يفتقد إمكانية إجراء عمليات نقل خارجية. وإمكانية وضع الملاحظات بجانب ملصقات العمليات الخاصة بك لتحديد العملية بشكل أفضل في حالة النسيان. شكرا لجهودك .",1
البنك الذي  يعامل كل طلب  بالاحتراف.,1
"لا يدعم هذا التطبيق حسابات الأعمال، فمن غير مقبول ",-1
عملي للغاية  ممتاز,1
برافو Cih برو جميل,1
تطبيق جيد جدا أصبح ضرورة,1
"لا أستطيع استشارة حسابي على دفتر الملاحظات،",-1
"لا يعمل لعدة أيام، ولا جهد",-1
ممتاز,1
 رفض فتح لمدة عشرات أيام.,-1
خيبة أمل كبيرة في هذا المستوى.,-1
خيبة أمل كبيرة,-1
"ولكن ما هو  هذا القرف، لا أستطيع الوصول إلى حسابي بعد الآن، يبدو كرسالة أن اتصالي غير آمن، حاولت مع 3G وكذلك الواي فاي الآمن من المنزل  ولكن دائما نفس الرسالة  يؤسفني بعد فشل هذا التحديث",-1
المخاوف الكبيرة من هذا التطبيق هي أننا لا نتبع جميع نفقاتنا مباشرة. لقد حدث أن أشتري شيئا يوم الاثنين وأنه يعرض لي التدفق يوم السبت! لذلك ليس لدينا أي فكرة عن المال الذي تركناه على حسابنا لأنه لا توجد قيمة حقيقية أبدا. خيبة أمل كبيرة في هذا المستوى.,-1
التصميم لطيف حقا وهو سهل الاستخدام.,1
إنه يخدم أي شيء هذا التطبيق. منصة الويب أفضل بشكل أفضل.,1
تطبيق ممتاز. تهانينا للمطور وإلى جميع أولئك الذين ساهموا في تنفيذها.,1
يمكننا الحصول على كل شيء  الذي نريد فقط نقرة واحدة,1
 من أحسن بنوك بالمغرب خدمة بكل سهولة,1
سيرفيس ناضي,1
أحسن بنكة ,1
تووب وحسن منهم كاملين وحتى لابليكاسيون ديالهم توب,1
احسن بنك تتعامل مع الجالية ,1
خدماته كلها مجانية و مرتاحة معاه و فيما يخص أداء مصارف الجامعة بالخارج فهي جد ناجحة و سريعة,1
  خدماتها الإلكترونية متميزة مقارنة بنظيراتها و مصاريف الحساب محددة بالعقد و لا تزيد عن المتوقع. و يبقى هذا رأي مبني على تجربة شخصية,1
أ حسن بنك أ في الشركات  من ناحية الخدمات و الإقتطاعات,1
جد رائعة ووالتعامل الراقي أنصحه ب,1
أ حسن بنك بالنسبة ليا هو سياش مافيهش اقتطاعات وفيه خدمات زوينة بزاف ,1
من بين أحسن البنوك اقتطاعات قليلة وموجود في جميع مدن المغرب,1
جربتهم كاملين و رتاحيت مع CIH فقط,1
خدمة جد متميزة ,1
بنك زوين,1
بنك مزيان و زوين,1
CIH BANK من أحسن بنوك بالمغرب خدمة بكل سهولة,1
سيرفيس ناضي,1
أحسن بنكة ,1
تووب وحسن منهم كاملين وحتى لابليكاسيون ديالهم توب,1
احسن بنك تتعامل مع الجالية ,1
خدماته كلها مجانية و مرتاحة معاه و فيما يخص أداء مصارف الجامعة بالخارج فهي جد ناجحة و سريعة,1
ههه انا كنمشي بلكارط و الفلوس ديما كاين مشكل يا في سغفيس او سستيم يا الانتظار الاي فايت لقياس.مدينة الجديدة,-1
قراو شكيات ورجعوا لناس فلوسهم لخديتو من لكونط,-1
زيدو الموظفين في لاكيس كنمشي مع 9 صباح كنلقا قدامي خمسين واحد امتا عاد توصلني النوبة والله تاحشومة بقات في الاشهارات ديال حقا البنك فابور ورا عيقتو الناس كاين لي مخلي خدمتو كاين لي عندو ولادو في المدرسة عيب والله,-1
بنك زيرو مفلس ,-1
عييت من زحاام وضياع الوقت فين منمشي الاجونس فلخر مكنقضي تغراض,-1
ما بنكة ما تاوزة...,-1
اش هاد التخربيق  بنك زيرو مفلس ,-1
أكفس سيستيم شفت فحياتي ديما ريزو طايح الله ياخد فيكم الحق,-1
نتوما امتى غدي تخلصو الناس لي شفرتو ليهم فلوسهم .  لا يصلح لشيء . بنك قطاع الطرق لا انصح به احد اقتطاعات غير مبررة و بالجملة,-1
شفاره,-1
مخدام ما والو غا لكدوب هاد تطبيق ,-1
أسوأ معانلة عندكم كاتعاملوا بها الزباين وخصوصا الناس الموجودة خارج الدولة لاسف عوض ماتساعدهم كاتصعبوا عليهم كل شيء البنك الوحيد الي كانلقاو معه هالدشيء,-1
نرجع للمغرب اول شيء نركلامي بيكم ونسحب حسابي من عندكم,-1
انا كاندفع على la carte gold 400 dhs سنوي ومكانستعملعش ولحد الان ماوصلنش رمز التفعيل وعييت ما نركلامي وانا خارج الدولة,-1
اش هاد لمرض راكم زيرو ,-1
"نحتاج ان تنضمو وكالاتكم، و خدماتكم و سيستمكم المتوقف دائما. لا خدمة و لا ادب و لا احترام",-1
وا خويا قهرتونا بالاقتطاعات الشفرة عين باين بزاف نتوما,-1
كتقول ليه سلام كيبلوكيك 10 يام مزال مجوبتي اولد ناس,-1
ما كاينش مقر نتاع cih في المكان الذي اسكن فيه,-1
 CIH BANK احسن بنك ف عالم,1
ربي الى مگادوا سرفيس ديالكوم مبغينا منكم والوا ها العار,-1
افشل بنك فالمغرب هههههه,-1
يا ودي نتوما كتوريو لبنادم كيفاش ينصب على عباد الله ,-1
هاد cih بنك لاعلاقة,-1
عيقتو مدينة قادة قداش فيها اجنس ف شرق او أخرى فلغرب خصنا نسافرو باش نوصلو أملي نوصلو خصنا نهار ندوزه كنستنو عباد له مدبزن على جيشي بزاف ولاه عينا من هاد شي أطلعلنة ف راس,-1
بنك فاشل ماعندكومش المعاملة مزيانة,-1
وراه مشاتلي 100dhأعباد الله من الحسااب ديالي في عملية سحب من الشباك الأتوماتيكي عييت نرسلكم بدون إجابة,-1
سياش ما مأمنش يعني احتمال يمشو لي فيه فلوس,-1
اشي غير الاقتطاعات فوق من ما تتصور شفرة عين باين,-1
كيعطل الأجرة على الموظفين حتى نهار التالي فالشهر,-1
فاي لحظة اديولك رزقك ومتقدرش تسترجع حقك من البنك,-1
تا توجدوها لكافة المستخدمين ios حتى هوما عااااد فرعو لينا راسنا! ديما لخدمة نااقصة,-1
خدمة رديئة,-1
نك مفلس و كل عيوب .بلوكيت شي فلوس و قالولي الفائدة 4000dh و أنا وعدت شي ناس نعطيهالهم كمساعدة ومن بعد فاش مشيت ناخد الفلوس عطاوني غير3400dh قالولي حنا قلنالك تقريبا 4000dh,-1
 الله يخليها جرة كل مصاريف ز اقتطاعات و دائما مشكل ,-1
كفس وأخيب وأقبح بنك فالمغرب ,-1
كثرة الإقتطاعات وقلة الخدمات والأخطاء,-1
"أخطر بنك في المغرب عن تجربة
",-1
ناس لفيه  مراض  مبنكة مولو,-1
بنك ربوية ومصاريفهم كتيرة زد علي دلك اقتطعات بدون مبرر ورقة ادا طلبته يقولون لك ادفع 20ظرهم للورقة يعني 100ورقة كم تسوي ربا حرام في الاسلام,-1
سوأ بنك في الاقتطاع,-1
بنك زيرو عيان الكيشي ماخدامش مشات ليا 2400 درهم نصب,-1
اكفس بنك الموضفين اكفس موضفين على الصعيد المغربي,-1
كبر شفارا  بعدو منهم و الله... عطا الله الابناك ف المغرب,-1
بنك  شفار ونصاب,-1
لا يحترمون الزبناء ,-1
.شوهة التعامل اويلى حصلتي ف يديهم ...العفو ,-1
جميع البنوك شفارة,-1
Cih اسوء بنك,-1
اكنصبو على الزباين والله الى حرام هدشي رني الآن حصل معهم قال ليك خلص عاد انشدو,-1
Cih أكبر شفرا,-1
كدابين كدابين بزاف ديال لاقتطاعات,-1
بالنسبة لي و عن تجربة شخصية يوظف أشخاص اغبياء,-1
فيه الزحام,-1
اختي  سيرفيس لا علاقة,-1
لا يوجد في القنافذ أملس,-1
Cih خايبة ديما كيشيات خاسرين,-1
فابور او مفيهاش اقتطاعات او انترناشونال,1
 مكاينش زحام عدهم,1
مزيانة كاتفتح حساب فابور مادمتي قل من 30 سنة,1
Cih خايبة ديمة لمشاكل سيستم خاسر..,-1
Cih حسن ولكن غشيات ديمة خاويين ولا خسرن,-1
زرو اقتطاعات أقل من 35 عام خدام به طوب صراحة,1
صراحة كاينين بزاف ديال الاقتطاعات,-1
رد البان انا كانت بغات تضحك عليا وحد ختنا ف cih قرا اي ورقة قبل متسيني عليها راه القانون لا يحمي المغفلين,-1
زوين تقدر  تقدر  تري l فلوس من أي بلاصة ب.لا كارت تعها,1
يبدو أنكم تختارون موظفين فاشلين  يساهمون في نفور الزبناء من خدمات وكلاتكم بالعديد من المدن ويدهبون إلى أبناك يعرفون كيف يعاملون الزبائن!!!!!!,-1
هدوك سيش نصابة حداري,-1
خدمة نقية,1
البعد والزحام والمشكلة جات فالمدينة كنتكرفصو شويا ,-1
طاقم ديالكم كلهم ولاد لحرام,-1
"اخيب بنك عرفتو وندمت علاش فتحت فيه حساب في العيون ،خاصك ضيع نهار ديال الخدمة وفي الاخير ماتقضي غراض ، دائما كاين الزحام او الريزو طايح الله يسمح ليكم",-1
اضعف بنكة,-1
راه من تنسافر تنزدق مساري مدينه باش نجبركم هههه,-1
"لعدم توفر الوكالة بمدينتي غيرتو حسابي ، للأسف",-1
زيدو وحدين اخرين  راه كارتة ولله,-1
طاقم ديالكم فاشل وسيئ حيت كاملين غير والاد لحرام,-1
غي سدوها نخلص ليكم داكشي باش حليتوها . درت 30 درهم تعبئة من لابليكاسيون لبارح وصلات ليوم صباح تقول جات فطاكسي,-1
وفتحو غير الفروع بزاف فنفس المدينة  بنادم ايدا بغا يجي عندكم خصو يسافر,-1
لخدمات دون المستوى,-1
المعاملة زيرو ,-1
لي بغا يغتح كونت كتجرجروه 6 شهور بحال لا هايفتح الأندلس,-1
اه لمشكيل كي شي اجنسات فيهم زحام,-1
تعاملكم فرية,-1
حشومة العيون كاملة فيها غير جوج وكالات وحدة كتخدم مرة فالعام,-1
وكالات ديال الله يحسن العوان لا سيرفيس لا تخرية,-1
و العار صاوبولينا و عمرونا غير الكيشي وديما خاوي كديروها بلعاني باش طيرو لينا 6 دراهم اما لابليكاسيو بلا مندويو عليها زيرو  هي واحد السيستام ليديما طايح,-1
السيستيم طايح,-1
المرجو اضافة موظفين بوكالة شارع باحنيني مدينة الداخلة  لا يعقل انك تبغي تفيرسي فلوسك ولا تدير شي عملية داخل الوكالة وكاتسنا النوبة ازيد من 1 ساعة,-1
رائع,1
طوب,1
 مستمر جيد للمستقبل,1
 مستمر جيد للمستقبل,
 تجنب التطبيق,-1
طوب,1
رسومات سهلة وسوية,1
الرسومات سوبر,1
رائع,1
تطبيق رائع يجعلني أكسب الكثير من الوقت,1
تطبيق فعال ممتاز  شكرا  ,1
سلبي في بعض الأحيان لا يتم تحميل التاريخ,-1
عملية جدا وسهلة الاستخدام.,1
شكرا جزيلا على الخدمة ,1
تطبيق جيد حياتي أسهل من أي وقت مضى,1
خدمات رائعة لديهم ,1
"ممتاز، شكرا لك بنك جيد للخدمة",1
كاملة وسهلة الاستخدام للغاية,1
    مفيد جدا,1
مناسب ,1
راض جدا,1
مريحة للغاية,1
تطبيق جيد,1
ممتاز وعملية,1
راضي,1
حسن,1
باهر,1
    لا أملك أي مشكلة حتى الآن,1
   أنا راض جدا عن خدمة cih  خدمة جيدة جدا مقابل مبلغ بسيط من المال,1
   لقد انضممت إليكم أكثر من 3 سنوات أنا و زوجتي  راضيان جدا ,1
    بصراحة أنا راضي عن أي حالة في الوقت الراهن. أوصي به.,1
" إنها الأفضل نسبة لسعرها  
",1
   جيد جدا مع ضمانات جيدة ,1
 لا يحترمون العقد   ,-1
لا  ثقة ,-1
إنها سيئة على عكس الإعلان الذي يصنعونه ,-1
"بخيبة أمل كبيرة إن بطاقة الدفع الصحي التي نعتقد أنها ميزة هي إعاقة خطيرة تجعل من الصعب مراقبة السداد خاصة في حالة المستشفى  لا تقيد أبدا.  من جهتي، سأستسلم. أفضل أن أدفع كما كان قبل  دون المرور بهذه البطاقة",-1
 كارثة مؤمن سيئ,-1
فرار على وجه السرعة يعمل النظام  بشكل سيء للغاية ,-1
 أنا راضية في الوقت الحالي لأن عمليات ا سريعة وتتيح بطاقة الدفع مجموعة من الخدمات,1
"عزيزي، خدمة سيئة، لن أوصي به مطلقا ",-1
مكلفة للغاية عدم وجود معلومات واضحة عن استرداد الأموال ,-1
 خدمة العملاء مرضية و سريعة  إلى حد ما حسب النظير,1
لا يمكن تأمين المصرفي للأسف تجربة سيئة و حزينة,-1
نقص الاحتراف,-1
عموما يعطي الارتياح,1
أنا لا أوصي بهذا البنك,-1
التطبيق سيئ لا أنصح الناس به ليس على مستوى البنوك الأخرى وأعتقد أنني سوف أغير البنك ,-1
حسنآ جيد,1
"تطبيق مبتدئ وسيئ، مقارنة بالسوق لا شيء أكثر",-1
في احسن الاحوال,1
غير عملي,-1
مفيد           ,1
ليست مفيدة,-1
 تستحق التصفيق,1
برافو عملي جدا للخدمة,1
انها حقا عملية,1
تطبيق جيد جدا يسمح باتباع العمليات عن بعد,1
لا يتم عرض الأرقام لإدخال التعليمات البرمجية,-1
سيئة جدا,-1
"التطبيق الذي يعمل مرة واحدة في 3، حقا صفر",-1
التطبيق مفيد للغاية مقارنة بتلك البنوك الأخرى,1
 يفتقر إلى الكثير من المعاملات,-1
بنك فاشل سأدهب للبنوك الأخرى,-1
في بعض الأحيان لا يعمل ,-1
أنه يعمل بشكل جيد جدا,1
جيد جدا,1
في احسن الاحوال,1
ممتاز,1
مفلس,-1
مناسب,1
يعمل بشكل جيد,1
حسنا بالنسبة لي يعمل بشكل جيد,1
انها ليست سيئة,1
راض جدا على كل شيء ,1
 يفتقر إلى  على كل شيء ,-1
لا يوجد أفضل من cihbank من حيث التطبيق ممتاز,1
 لا أريد أن أترك بعد الآن  رائع,1
 يعمل تماما,1
جيم,1
التطبيق عملي جدا ومفيد جدا  بالنسبة لي,1
لا يعمل مع حساب الأعمال! !!!!!,-1
لا تعمل مع حسابي!,-1
أنصح بشدة!,1
اكفس بنك في عالم,-1
ناس كثير فاتحى حسابها في سياش بانك في برشيد و سطات ووو وأنا وحدا منهوم كنطر نتنقل من مدينا لمدينة غير على قبلكوم ياريت تلتافتو لي هذا المدينة او تفتحو فرع هنى أوتقربو لينا الخدمات ديالكوم,-1
ديما سيستم خاسر سبحان الله,-1
وكالة ب 3 تالناس حگا نسيتو السيكيريتي,-1
أقبح بنك شفت فحياتي,-1
قبل افتتاح وكالات أخرى بالمدن المغربية وجب عليكم تحسين الخدمات و ضخ العنصر البشري بالوكالات الحالية المتواجدة بالمغرب و أخص الذكر بمدينة خريبكة راه من العيب نلقاو وكالتكم البنكية فيها زوج العناصر كيخدموا على أكثر من 100 ألف نسمة وكالتكم في شارع زنقة مراكش بخريبكة و غيرها بالمدينة كنلقاو طوابييييييييير من المواطنين ينتظرون دورهم من أجل ولوج الوكالة,-1
عيب باش نلقاو موظفة واحدة تستقبل ألف مواطن  في لا كيس,-1
الداخلة را كاينا لاجونص وحدة اولاد العبد كتمشي مع الفجر وكترجع مع العشا,-1
سيرو شوفو. واحد لاجونس. عندكوم فكلميم راه فيه سيبا,-1
أتمنى فتح وكالة جديدة في حي أندلس الرحمة بجماعة دار بوعزة إقليم النواصر جهة الدار البيضاء لأن وكالتكم بمدينة الرحمة بعيدة عن ساكنة أولاد احمد و اندلس الرحمة والبكيريين والعراقي والفتح,-1
الإضافة إلى الإكتظاظ و العدد الكبير من الزبناء الذين يشكلون صفا طويلا وطابور ممل طوال اليوم لقضاء خدماتهم بالوكالة وأغلبهم لا يتحقق مرادهم أو ينفد وقت اشتغال موظفي الوكالة قبل أن يمر كل المنتظرين,-1
عميلكم الوفي ومن محبي CIH Banck,1
المعاملة ديالكم صفر قتلتونا غير بالهضرة,
صايبو غ لگيشيات للي ديما معطلين,-1
هضرو مع دوك  ليخدامين عندكوم الداخل فلاجونص  شمايت او الرعاوين  ,-1
بنك مزيان صراحة لاكن الاكنررية ديال الموضفين لي خدامين فيه  التواضع و الاحترام,1
"الا غي هاد البنك نخبي رزقي غي فالخدية ولا نتواجه مع دوك الحيوانات لي كتوظفو
كيسحاب  البنك ديالهوم",-1
 راضيا  جدا منذ عدة سنوات. ,1
 مصرف جيد جدا ,1
 فقط بعض بطاقات  المصرفية المؤهلة لهذا التطبيق لسوء الحظ.,-1
 وكالات  الشركة غير متواجدة بكل مكان,-1
ينقصه. الخدمات,-1
"،انا جربتهم كاملين سيرفس ديالهم زوين ",1
"ابليكاسيون ديالك كايكون  فيها شخص لي مكلف بيك فاش اكون عندك مشكل تتاصل بيه، مكتحتاج تا حاجا كلشي فيها زوين ",1
و كتبقا cih bank احسن بنك وشكران,1
